iter	Logloss
0	0.6858740972
1	0.6784569892
2	0.6696868519
3	0.6638995282
4	0.6559784239
5	0.6485103234
6	0.6418378512
7	0.6349718702
8	0.6277615458
9	0.6213265435
10	0.6155429616
11	0.6101710299
12	0.6064692283
13	0.6010572467
14	0.5962967072
15	0.5904273165
16	0.5857780758
17	0.5805536572
18	0.5751399322
19	0.5698959736
20	0.5642199303
21	0.5586720941
22	0.5532165948
23	0.5475687203
24	0.5428618634
25	0.5373733959
26	0.5332472979
27	0.5297414271
28	0.5251647457
29	0.5215710128
30	0.5174412942
31	0.5133389288
32	0.5100394686
33	0.5054259127
34	0.5013662754
35	0.4971691277
36	0.4933929798
37	0.4893423113
38	0.4858524782
39	0.4829724896
40	0.4795497865
41	0.4763603449
42	0.4733542444
43	0.4701232009
44	0.4666488506
45	0.4634099587
46	0.4599821389
47	0.4572947198
48	0.4539424737
49	0.4522681432
50	0.4498722389
51	0.4473630328
52	0.4450660094
53	0.4421862062
54	0.4392112164
55	0.4365089921
56	0.433884403
57	0.4309973577
58	0.4290453125
59	0.4268048881
60	0.4239750621
61	0.4225077445
62	0.4209763022
63	0.4188132211
64	0.416725558
65	0.4146070535
66	0.4124170565
67	0.4105781549
68	0.408235844
69	0.4064564889
70	0.4046796034
71	0.4025176064
72	0.4004637882
73	0.3987728359
74	0.3969780665
75	0.3953669313
76	0.393840522
77	0.3924259739
78	0.3908035073
79	0.3890212441
80	0.3869141667
81	0.3848870779
82	0.383301267
83	0.3812968824
84	0.3799048434
85	0.3784944731
86	0.3770712506
87	0.3754615721
88	0.3742436784
89	0.3725792214
90	0.3713596622
91	0.3700021474
92	0.3689888961
93	0.3681906047
94	0.3674247691
95	0.3665897627
96	0.3655002976
97	0.3648614433
98	0.363733384
99	0.3625826728
100	0.360879856
101	0.360105817
102	0.359204318
103	0.357895801
104	0.3568677828
105	0.3565042415
106	0.355721821
107	0.3548098086
108	0.3533584492
109	0.3521733651
110	0.3507212618
111	0.3494228995
112	0.3481995305
113	0.3473124215
114	0.3462366244
115	0.345161379
116	0.34409408
117	0.3430471469
118	0.3418883961
119	0.3410461349
120	0.3404229838
121	0.3394523799
122	0.3386870319
123	0.3378498218
124	0.336769824
125	0.3360889502
126	0.3350837569
127	0.3345378857
128	0.3341835271
129	0.3335940199
130	0.3330420664
131	0.3324318821
132	0.33158345
133	0.3310525003
134	0.33052115
135	0.3299293079
136	0.3292940874
137	0.3281931202
138	0.3273549049
139	0.3265183705
140	0.3257260271
141	0.325204686
142	0.3244353528
143	0.323557514
144	0.3227197865
145	0.3219240097
146	0.3211464721
147	0.3205437713
148	0.3202466152
149	0.3194864253
150	0.3191393877
151	0.3188005458
152	0.3181809713
153	0.3176452798
154	0.3170313071
155	0.3162345237
156	0.3153079533
157	0.3146657893
158	0.3141193247
159	0.3135775428
160	0.3131778095
161	0.3127867268
162	0.31261941
163	0.3122160427
164	0.3118333814
165	0.3113873333
166	0.3106581828
167	0.3100442385
168	0.3094714249
169	0.3090198835
170	0.3084272421
171	0.3080190911
172	0.307498109
173	0.307063916
174	0.3066844884
175	0.3060562083
176	0.3057688541
177	0.3053044338
178	0.3048785728
179	0.3043306615
180	0.303760973
181	0.3032531971
182	0.302815045
183	0.3024774091
184	0.3022196598
185	0.3019940021
186	0.3014901083
187	0.3011683784
188	0.3007863434
189	0.3003997914
190	0.2997223973
191	0.2993180209
192	0.2988541932
193	0.2984044176
194	0.2980425785
195	0.2973603842
196	0.2968300929
197	0.29640131
198	0.296000504
199	0.2956284996
200	0.2951045322
201	0.2947788803
202	0.2944833454
203	0.2940488376
204	0.2938223503
205	0.2935283031
206	0.2929182087
207	0.292651125
208	0.2920757523
209	0.2917475823
210	0.2913314306
211	0.2910200077
212	0.2905854956
213	0.2902918188
214	0.2898752866
215	0.2896351889
216	0.2893639934
217	0.2891553968
218	0.2888128877
219	0.2885820577
220	0.2882940689
221	0.2879573539
222	0.2875729787
223	0.2872110708
224	0.2867386831
225	0.2862836547
226	0.2860252423
227	0.285614426
228	0.2851516332
229	0.2848801029
230	0.2846231957
231	0.2843216425
232	0.2839609037
233	0.2837646486
234	0.2833925286
235	0.2830906141
236	0.2827795204
237	0.2824934116
238	0.2822028722
239	0.2818642209
240	0.2816590231
241	0.2814022964
242	0.2810021862
243	0.2807901161
244	0.2805900283
245	0.2800485646
246	0.2797290357
247	0.2794457651
248	0.2790076631
249	0.2786591316
250	0.2782806228
251	0.2778656349
252	0.2776717219
253	0.2774547129
254	0.2772301299
255	0.2769924959
256	0.2768786332
257	0.2764655802
258	0.2762098324
259	0.2758951573
260	0.2754366139
261	0.2749620705
262	0.2746155963
263	0.2741873553
264	0.2739585179
265	0.2737687653
266	0.2733865679
267	0.2731222647
268	0.2727144638
269	0.2724684793
270	0.2722635219
271	0.2717616749
272	0.2715513964
273	0.2713795188
274	0.271033927
275	0.2708536116
276	0.2706660882
277	0.2704408906
278	0.2702435293
279	0.2699855666
280	0.2697535666
281	0.2694030527
282	0.2691192579
283	0.268881477
284	0.2687257092
285	0.2683855306
286	0.2681462017
287	0.2679217831
288	0.2677796182
289	0.267429081
290	0.2672656629
291	0.2670892509
292	0.2669971652
293	0.2668091785
294	0.2665135353
295	0.2661545875
296	0.2658378915
297	0.2654419715
298	0.2650796479
299	0.2648092332
300	0.2646275305
301	0.2644185831
302	0.2642351545
303	0.2640122395
304	0.2637737483
305	0.2636038563
306	0.2633567802
307	0.2633127461
308	0.2630385463
309	0.2629109027
310	0.2624752326
311	0.2622476868
312	0.2617941744
313	0.2616420882
314	0.2615282845
315	0.2614120505
316	0.2610974421
317	0.260816333
318	0.2606860478
319	0.2604265799
320	0.260221782
321	0.2599341746
322	0.2598080381
323	0.2596289242
324	0.2594454592
325	0.2591972099
326	0.2588241417
327	0.2584815587
328	0.2582546942
329	0.2579377187
330	0.2576505807
331	0.2575433462
332	0.2573415628
333	0.2571299456
334	0.2569553227
335	0.2567738661
336	0.2566656356
337	0.256472316
338	0.2562472536
339	0.2559582099
340	0.255877202
341	0.2557398527
342	0.2555523816
343	0.2554094248
344	0.2550017846
345	0.254850671
346	0.2545704558
347	0.2543773782
348	0.2543438389
349	0.2540268594
350	0.2537161636
351	0.2535066657
352	0.2534510917
353	0.253169829
354	0.2530470516
355	0.252770791
356	0.2525967102
357	0.252424743
358	0.2521127687
359	0.2518746713
360	0.2516402352
361	0.2514919016
362	0.2513097801
363	0.2511685131
364	0.2508991755
365	0.2506316438
366	0.2503567257
367	0.2500701827
368	0.249958107
369	0.2497153625
370	0.2495021639
371	0.2494298509
372	0.2493268244
373	0.2491284413
374	0.2489937971
375	0.2489750686
376	0.2487901649
377	0.2486892548
378	0.2485349757
379	0.2484289576
380	0.2482705042
381	0.2480822713
382	0.247854892
383	0.2477003176
384	0.2475518413
385	0.2473249819
386	0.2472263603
387	0.2470186324
388	0.246983049
389	0.2467940964
390	0.2465963527
391	0.246485771
392	0.2463153772
393	0.2462435967
394	0.2460798167
395	0.2459253549
396	0.2457634693
397	0.2456916327
398	0.2452352531
399	0.2451309228
400	0.2449815589
401	0.2447663268
402	0.2444283428
403	0.2441068775
404	0.2439754554
405	0.2438263474
406	0.2435961538
407	0.2433449435
408	0.243165937
409	0.2431330251
410	0.2430307168
411	0.2427625456
412	0.2426515872
413	0.2425070398
414	0.2422990396
415	0.2420950428
416	0.2418520881
417	0.2416693708
418	0.2414798489
419	0.2413810534
420	0.2412598986
421	0.241047427
422	0.2408549737
423	0.2407793339
424	0.2405905775
425	0.2404478734
426	0.2402151305
427	0.2400121134
428	0.2397907005
429	0.2396066273
430	0.2393269362
431	0.2392015268
432	0.2390493788
433	0.2389031316
434	0.2387728409
435	0.2385950634
436	0.2383923301
437	0.2381986504
438	0.2379616465
439	0.2378767676
440	0.2376144187
441	0.2373905035
442	0.2371580363
443	0.2370506793
444	0.2367646776
445	0.2366100048
446	0.2365001284
447	0.2362425549
448	0.2361202502
449	0.2360853593
450	0.2358864951
451	0.2357852204
452	0.235616132
453	0.2354288619
454	0.2352009388
455	0.2351007715
456	0.2349772292
457	0.2348674446
458	0.2347804473
459	0.2346261292
460	0.2344079966
461	0.2343615991
462	0.2342427517
463	0.2340738734
464	0.2338581895
465	0.2337205429
466	0.2336200532
467	0.2334681982
468	0.2331467559
469	0.2330226735
470	0.2328172144
471	0.2327155034
472	0.2325287565
473	0.2324360178
474	0.2322811159
475	0.2320681604
476	0.2319326293
477	0.2317697568
478	0.2314328346
479	0.2312890193
480	0.2310814773
481	0.2309150829
482	0.2307088609
483	0.2305628992
484	0.2304065817
485	0.2302470872
486	0.2302217122
487	0.2300295599
488	0.229820881
489	0.2295729018
490	0.2295250928
491	0.2293455133
492	0.2291366568
493	0.228995973
494	0.2288269835
495	0.2286240359
496	0.2285862827
497	0.2284869822
498	0.2283536
499	0.2282738196
